C68654,A-6473350,2024-10-20 00:00:00,14449.18,14449.18,USD,Pending,,needs review,needs review,,Y24,,C68654,x,,x,
C18912,A-3343263,Oct-19-24,17822.57425767478,,USD,CANCELLED,,needs review,needs review,,Y24,m10,C18912,,,,
C12094,A-2752986,2024-10-26 00:00:00,-369.0142906341125,(375.27),EUR,,,needs review,needs review,,1,m10,C12094,,,,
C33910,A-6385610,13/10/2024,"20,049.27",20049.27,EUR,,,,,,1,96,C33910,,,,
C52452,A-4270489,2024-10-27 00:00:00,13044.82,13044.82,AED,Pending,,ok,ok,,Y24,,C52452,x,,,
C49493,A-2897911,19/10/2024,(985.88),985.88,EUR,,,!!!,!!!,,Y24,,C49493,,,,
C31362,A-1337690,0000-00-00,9166.498563618507,9201.27,EUR,CANCELLED,,ok,ok,,1,,C31362,,,,
C74087,A-3738040,2024-10-11,-5830.74,-5830.74,AED,CANCELLED,,,,,Y24,m10,C74087,,,,
C22961,A-2188267,2024-10-12,48.70,(55.82),EUR,,,ok,ok,,0,24,C22961,,,,
C10864,A-5581903,09 October 2024,,-3563.69,AED,,x,ok,ok,,Y24,m10,C10864,,,,
C14872,A-3479734,2024-10-27,10561.07,10561.07,OMR,Closed,,ok,ok,junk,Y24,m10,C14872,,,,
C68811,A/42880,20/10/2024,28650.01689708007,28698.09,eur ,,,ok,ok,,Y24,m10,C68811,,,,x
C63937,A-6733678,26 October 2024,22608.98,22608.98,EUR,Open,,ok,ok,junk,,m10,C63937,,,,
C11771,A/62641,Oct-01-24,"-2,713.46",,SAR,In Review,,ok,ok,,Y24,m10,C11771,,x,,x
C12276,A-3556303,2024-10-08,"5,400.55",5400.55,SAR,CANCELLED,,ok,ok,,Y24,m10,C12276,x,x,,
C42802,A-1670341,32/13/2023,"4,557.19",4557.19,USD,Pending,,ok,ok,,0,,C42802,,,,
C80616,A-1157225,16/10/2024,-4150.1,,EUR,CANCELLED,x,,,,Y24,96,C80616,,,,
