 CID  , ledger_account  ,Date,VALUE,txn_value,CURR.,State,branch, remarks  ,REASON_TEXT,,YEAR_ADDED_2024, new_col_202411 ,,mystery_2024_11_21,mystery_2024_11_56,mystery_2024_11_22,mystery_2024_11_96
C16119,A-3904777,27/11/2024,-3682.324342218078,-3656.13,EUR,,  AUH,,,,0,,,x,,,
C42074,A-3862211,32/13/2023,,26867.01,OMR,Pending,AUH,,,,0,m11,,x,,,
C48189,A-2596980,2024-11-21,3146.89,3146.89,AED,Pending,AAN,,,,0,69,,,,,
C22274,A-2354892,11/11/2024,23639.86106166904,23646.21,OMR,,FJR,,,,,m11,,x,,,x
,A-3324448,2024-11-26,-757.5976407792867,-714.85,usd ,In Review,AAN,ملاحظة,ملاحظة,,,,,,,,
C42143,A-8570418,2024-11-27 00:00:00,25551.91,"25,521.51",SAR,,AUH,needs review,needs review,,1,m11,,,,,
,A/14329,Nov-06-24,24701.53,,AED,Pending,RAK,,,,,m11,junk,,,,
C80341,A-7360740,2024-11-18 00:00:00,20908.12,,OMR,In Review,UAQ,ok,ok,,,,,,,,
,A-2776917,09/11/2024,20324.14,20324.14,GBP,CANCELLED,DXB,,,,Y24,44,,,,x,
C41103,A-1366539,2024-11-02,"-6,924.30",-6924.3,USD,Closed,AUH,ok,ok,,Y24,,,,,,
C43745,A-3362429,06 November 2024,(1742.61),-1742.61,GBP,,RAK,ok,ok,,Y24,15,,,,,
C36223,A/20770,2024-11-24,,25930.31,SAR,,  AUH,ok,ok,,Y24,m11,,,,,
C44775,A-2121794,14 November 2024,24137.83,"24,097.75",SAR,,AAN,needs review,needs review,,Y24,74,,,,,
C33278,A-9469543,Nov-23-24,4628.32,4628.32,GBP,Open,RAK,needs review,needs review,junk,Y24,m11,,,,,
,A-8476386,2024-11-05,27482.79,(27454.69),AED,,SHJ,needs review,needs review,junk,Y24,55,,x,,x,
C38067,A-4803953,2024-11-12,-4744.47,,USD,In Review,AAN,needs review,needs review,junk,0,,junk,,,,
C73743,A-8373730,2024-11-15,20376.96,20376.96,USD,Pending,AAN,ok,ok,,Y24,m11,,,,,
C82556,A-5527404,06 November 2024,(24654.60),24703.26657508785,USD,,AAN,ملاحظة,ملاحظة,,Y24,m11,,,,,
C35240,A-3069940,2024-11-23,11152.63794411075,"11,122.40",SAR,Open,RAK,,,,1,m11,,,,,
C26928,A-5992010,2024-11-07,"26,042.31",not available,SAR,,DXB,ok,ok,,Y24,m11,,,,,
C88270,A-3413371,Nov-05-24,8351.09,8351.09,USD,Pending,AUH,needs review,needs review,,1,14,,,,,
,A-1395441,2024-11-25,15483.55,15483.55,aed ,In Review,FJR,ok,ok,,1,96,,,x,,
