_CLIENT_REF__,ledger_account, Date  ,net_value,NET_VALUE,CURRENCY,APPRV_STATE,branch_region, REMARKS  , OPS_COMMENT  ,,year_added_2021, new_col_202110 , Customer Id  ,mystery_2021_10_73,mystery_2021_10_23
C85873,A-2097082,05/10/2021,9110.680104921103,9155.6,AED,In Review,SHJ,ملاحظة,ملاحظة,,Y21,m10,C85873,,
C50901,A-3284583,26/10/2021,26278.88179174551,26254.12,OMR,In Review,FJR,needs review,needs review,,Y21,m10,C50901,,
C24232,A-3884855,Oct-08-21,-4510.6,,SAR,,RAK,!!!,!!!,,Y21,m10,C24232,,
,A-2063411,2021-10-19,16804.82,16804.82,SAR,In Review,UAQ,,,junk,Y21,m10,,,
C37486,A-8987630,2021-10-26,27894.57740263465,27894.43,SAR,Open,RAK,ok,ok,,0,,C37486,,
C71892,A/31603,2021-10-05,(1005.36),(957.27),aed ,Open,SHJ,ok,ok,,Y21,m10,C71892,,
,A-5258444,32/13/2023,8462.811915759059,8460.59,GBP,Closed,FJR,ملاحظة,ملاحظة,,Y21,m10,,,
C94679,A-2953600,2021-10-16,-998.3380649125112,-977.52,USD,Pending,RAK,ok,ok,,1,85,C94679,,
C78585,A-5532012,01/10/2021,,(28957.81),SAR,In Review,  SHJ,ok,ok,,0,27,C78585,,
C66628,A-9808038,2021-10-08 00:00:00,5016.398192265589,(5055.31),EUR,Pending,DXB,,,,Y21,31,C66628,,
C20984,A-2371171,05 October 2021,"28,614.51",28567.68,OMR,Pending,RAK,,,,Y21,41,C20984,,
C91481,A/30014,13 October 2021,9763.94,9763.94,OMR,Open,RAK,ملاحظة,ملاحظة,,Y21,88,C91481,,
C84963,A-6235311,23 October 2021,-5163.8,,AED,,RAK,ok,ok,,Y21,50,C84963,,
C16279,A-9184076,14 October 2021,1661.5,1708.29845763488,OMR,,SHJ,,,,1,m10,C16279,,
C10657,A-1248183,Oct-02-21,8033.18,8033.18,SAR,Pending,DXB,ok,ok,,,57,C10657,,x
C81529,A-5824180,32/13/2023,9883.63,9883.63,USD,CANCELLED,AAN,ok,ok,,1,m10,C81529,,
,A-9420608,Oct-03-21,21931.09968433441,21902.75,SAR,Closed,UAQ,,,,Y21,51,,,
C55997,A-1589176,11 October 2021,(15826.39),,OMR,Closed,RAK,,,junk,Y21,72,C55997,x,
C56063,A-5021738,2021-10-15,8357.06,8357.06,SAR,In Review,SHJ,,,,Y21,m10,C56063,,
C18455,A-7846972,2021-10-07,18593.41,,GBP,Pending,AUH,!!!,!!!,,Y21,,C18455,,
,A-1611085,2021-10-12,-926.59,,GBP,Pending,DXB,ok,ok,,0,m10,,,
,A-5818203,2021-10-10,,,USD,Closed,AAN,,,,0,m10,,,
C74724,A-6874092,05 October 2021,778.2630458928447,,AED,Closed,FJR,needs review,needs review,,,86,C74724,,
C38260,A-4693867,32/13/2023,20464.47,,GBP,In Review,  FJR,ok,ok,,Y21,m10,C38260,x,
C39771,A-4550946,19 October 2021,18046.6,18001.04002442767,OMR,Pending,RAK,ok,ok,junk,1,,C39771,,x
