Customer Id (v2),ACC_KEY,POSTING DATE*,VALUE,Amt, CCY  ,Unnamed: 0,BRANCH*,Memo,Commentary,,year_added_2021,new_col_202106, date  ,mystery_2021_06_45,mystery_2021_06_35,mystery_2021_06_96,Unnamed: 0
C49735,A-5242364,32/13/2023,22748.09,22748.09,EUR,,SHJ,needs review,needs review,junk,Y21,m6,2021-06-14 00:00:00,x,,x,
C76542,A-1153541,Jun-09-21,14390.4,14390.4,AED,,  DXB,,,junk,Y21,m6,2021-06-09,,,x,
C93527,A-9623980,11 June 2021,(22492.09),22457.9,SAR,,RAK,needs review,needs review,,0,32,32/13/2023,,,,
C21006,A-3940160,2021-06-13,,26729.47,EUR,x,FJR,needs review,needs review,,Y21,19,13/06/2021,,x,,
C96388,A-4697388,Jun-05-21,2658.271269693413,2696.788365575086,SAR,,FJR,ok,ok,,Y21,m6,0000-00-00,x,,,x
C79854,A-8094015,05 June 2021,(10867.23),10863.54986146618,GBP,x,UAQ,,,,,,,,,,
C45315,A-6894194,11/06/2021,7257.64,7257.64,AED,,FJR,ملاحظة,ملاحظة,,Y21,,11 June 2021,,,x,
C51997,A-1282947,Jun-01-21,,-1733.45,omr ,,DXB,ok,ok,,,,2021-06-01,,,x,
C99306,A-7168827,11/06/2021,27286.22653332847,27254.53365435414,SAR,,  DXB,,,,1,m6,11/06/2021,,,,
,A-9880992,2021-06-15 00:00:00,"13,502.90",13502.9,SAR,x,FJR,,,,0,m6,15 June 2021,,,x,
C64991,A-6358337,2021-06-11,not available,16332.55,AED,,  DXB,needs review,needs review,,Y21,,,x,,,
,,Jun-13-21,-774.55,-774.55,USD,,DXB,ok,ok,,,m6,13 June 2021,,,,
C19439,A/16427,Jun-21-21,-4862.94,-4862.94,OMR,,  SHJ,needs review,needs review,,Y21,,,,,,
C20492,A-9806217,2021-06-13 00:00:00,,4560.14,GBP,,AUH,,,,Y21,,2021-06-13,x,,x,
C72153,A-7388424,2021-06-09,-5670.34,,SAR,,DXB,needs review,needs review,,1,m6,2021-06-09 00:00:00,,,,
C61210,A-8190073,Jun-25-21,(15945.51),,SAR,,AAN,needs review,needs review,,,m6,Jun-25-21,x,,x,
C80770,A-7748053,Jun-10-21,21294.69,21294.69,gbp ,,AAN,ok,ok,,Y21,m6,2021-06-10,,x,,
,A-4536956,2021-06-10,-4967.072158981975,-4934.6,sar ,,  UAQ,ok,ok,junk,Y21,54,32/13/2023,,x,,
C77570,A-2326648,23 June 2021,5921.427043914762,"5,958.74",AED,,AAN,,,,Y21,50,0000-00-00,,,,
C26868,A-3554182,2021-06-12 00:00:00,,23468.68,SAR,x,AUH,ok,ok,,,m6,Jun-12-21,,,,
C70210,A-7372506,11/06/2021,(13599.79),"13,661.47",OMR,,FJR,needs review,needs review,,0,m6,32/13/2023,,,,
C56025,A-2637387,Jun-03-21,6439.21,6439.21,OMR,,FJR,ok,ok,,Y21,49,2021-06-03 00:00:00,x,,,
C61582,A-1290389,32/13/2023,19937.70465646772,19934.19,GBP,,AAN,,,,Y21,,2021-06-03,,,,
C90680,A-5174633,Jun-15-21,3202.15,3202.15,OMR,,AUH,,,,Y21,,15 June 2021,,,,
C53987,A-3831840,2021-06-19,,"-6,460.44",EUR,,AAN,needs review,needs review,junk,Y21,66,2021-06-19,,,,
C43070,A-8845217,2021-06-24,-1080.01,-1080.01,USD,,SHJ,,,,1,,24/06/2021,,,,
C13015,A-8375617,2021-06-21 00:00:00,18950.59,18950.59,AED,,SHJ,needs review,needs review,,1,m6,0000-00-00,,,,
C80920,A-7491132,2021-06-25,25438.4,"25,438.40",USD,,AUH,needs review,needs review,,Y21,,2021-06-25 00:00:00,x,,x,
,A-6257685,0000-00-00,13270.547608230692,not available,OMR,,FJR,ok,ok,,Y21,,Jun-21-21,,,,
C80498,A-3683920,2021-06-01 00:00:00,-6300.48,not available,SAR,,UAQ,ok,ok,junk,Y21,m6,2021-06-01,x,,,
C82669,A/87704,01/06/2021,,(24807.26),GBP,,  AUH,ok,ok,,Y21,,2021-06-01,,,x,
C65587,A-3853054,32/13/2023,18888.95,not available,SAR,,FJR,needs review,needs review,,Y21,m6,25 June 2021,,x,,
C38398,A-4988130,14/06/2021,"18,732.57",,SAR,,RAK,ملاحظة,ملاحظة,junk,1,44,0000-00-00,,,,x
C66973,A-1448697,Jun-04-21,26590.27,not available,SAR,,DXB,ok,ok,,0,m6,2021-06-04 00:00:00,,,,
C22567,A-5416755,24 June 2021,-5300.74,-5293.108298866786,GBP,,SHJ,ملاحظة,ملاحظة,,Y21,m6,24 June 2021,x,,,
C17314,A-1377555,32/13/2023,not available,"-7,214.80",GBP,,AAN,,,,Y21,m6,Jun-01-21,,,,
C37664,A-3555929,2021-06-05 00:00:00,"3,149.09",3129.916522927293,OMR,,AAN,,,junk,Y21,m6,2021-06-05 00:00:00,x,x,,
C60638,A-1912015,2021-06-15 00:00:00,"4,640.40",(4665.42),USD,,RAK,ملاحظة,ملاحظة,,,m6,2021-06-15,,,,x
