C24095,,2021-02-16,-5276.03,-5276.03,GBP,Pending,DXB,ok,ok,junk,Y21,99,16/02/2021,,x,,,
C50543,,28/02/2021,18722.92,18722.92,AED,Open,AUH,ملاحظة,ملاحظة,,Y21,m2,2021-02-28 00:00:00,,,,x,
C30516,,12/02/2021,"23,987.14",,EUR,CANCELLED,DXB,,,,1,,2021-02-12,,,x,,
C41460,,Feb-05-21,19389.91768935212,"19,389.81",SAR,Open,UAQ,ok,ok,,1,m2,,,,,,x
C87460,junk,15 February 2021,-7319.23,not available,GBP,,UAQ,ok,ok,,,87,2021-02-15,,x,,,
C45865,,03/02/2021,28198.7,28204.77547143528,OMR,,AAN,,,,Y21,m2,2021-02-03,,,,,
C32154,,2021-02-09,8205.08,8250.438552962207,OMR,Closed,AAN,ok,ok,,Y21,79,2021-02-09,,,,x,
C26003,,2021-02-17,-4502.86,,USD,CANCELLED,UAQ,ok,ok,,1,,2021-02-17,x,,,x,
C37834,,2021-02-13,-5457.78,-5457.78,OMR,Closed,UAQ,ملاحظة,ملاحظة,,1,m2,13/02/2021,x,,x,,x
C78224,,20 February 2021,,,GBP,,UAQ,needs review,needs review,,,m2,20/02/2021,,,,,
C63329,,10/02/2021,-4463.1,-4463.1,usd ,In Review,RAK,ملاحظة,ملاحظة,,Y21,,10 February 2021,,,,,x
,,32/13/2023,,20587.47,AED,Pending,SHJ,ok,ok,,Y21,m2,18/02/2021,,,,,x
C38628,,16 February 2021,23242.67,"23,242.67",OMR,In Review,DXB,!!!,!!!,,0,44,2021-02-16,,,,,
C65079,,2021-02-04,not available,7429.11681686604,USD,,AAN,,,,,m2,2021-02-04 00:00:00,,x,,,
C29265,,,7622.82,7616.565081908206,OMR,In Review,FJR,ok,ok,,,m2,05 February 2021,,,,,
C46612,,32/13/2023,12124.51,(12124.51),GBP,CANCELLED,AAN,ok,ok,junk,Y21,,Feb-10-21,,,,,
,,Feb-04-21,"-7,186.44",,GBP,Open,DXB,,,,,,2021-02-04,,,,,
C45643,,Feb-26-21,14859.75,,GBP,Pending,AUH,needs review,needs review,,,m2,26/02/2021,,,,,
C67839,,32/13/2023,6104.507403568312,6093.33,AED,Pending,AUH,,,,Y21,45,Feb-18-21,,,,,
C38358,,16 February 2021,"14,156.58",,gbp ,Pending,AUH,needs review,needs review,,,67,2021-02-16,,,,,
C36760,,2021-02-24,18112.02851754517,18140.85,USD,CANCELLED,SHJ,ok,ok,,Y21,32,Feb-24-21,,,,x,
C69382,junk,11 February 2021,28207.11696493105,28233.9768388528,SAR,Closed,RAK,,,,Y21,43,2021-02-11,,,x,,
C86108,,Feb-21-21,12482.96,12482.96,USD,,DXB,ok,ok,,0,87,Feb-21-21,x,,,,
C91899,,2021-02-05 00:00:00,-4931.730997697154,(4954.04),EUR,CANCELLED,  DXB,,,,Y21,,Feb-05-21,x,,x,,
C89281,,Feb-21-21,17542.79,17500.45038756861,GBP,,AAN,,,,Y21,,21/02/2021,,,,,
,,2021-02-22,-4629.83,-4629.83,OMR,In Review,AAN,needs review,needs review,,Y21,m2,2021-02-22,,,,,
C90505,,Feb-28-21,(21628.84),(21587.32),GBP,Closed,DXB,ok,ok,,,,Feb-28-21,x,,,,
C18410,,21/02/2021,-2622.96,"-2,622.96",SAR,In Review,FJR,ok,ok,,0,92,2021-02-21,,,,x,x
C92789,,0000-00-00,3043.25,(3043.25),AED,Closed,SHJ,,,junk,Y21,m2,Feb-10-21,,,,,
C75663,junk,23/02/2021,-2898.35,-2865.95624322663,GBP,,FJR,ok,ok,,Y21,97,2021-02-23,,x,x,,
C78971,,2021-02-15,(29107.91),"29,114.24",USD,In Review,AUH,ملاحظة,ملاحظة,,Y21,m2,15/02/2021,,,,,x
