 ClientNumber  #,GL_ACC,date,Amt,amount, ISO_CURR  , txn_status  ,Area,OPS_COMMENT,notes,UNUSED,year_added_2021,new_col_202101,Commentary,mystery_2021_01_47,mystery_2021_01_29,mystery_2021_01_18,mystery_2021_01_66,mystery_2021_01_64,Unnamed: 0
C65666,A-5672762,27 January 2021,14558.7,"14,558.70",OMR,CANCELLED,AAN,needs review,needs review,,,m1,needs review,,,,,,
C91688,A-2283746,20 January 2021,,,SAR,Closed,AAN,ملاحظة,ملاحظة,,1,m1,ملاحظة,,,x,,,
C50954,A-9178136,05/01/2021,not available,,gbp ,,  RAK,needs review,needs review,x,1,30,needs review,,,,x,,
C56840,A-1947061,2021-01-12,915.64,,EUR,In Review,AUH,,,,,m1,,,,,x,,
C75107,A-6696526,2021-01-11,5806.7,not available,SAR,Closed,SHJ,ملاحظة,ملاحظة,,,m1,ملاحظة,,,,,,x
C49309,A-6257190,32/13/2023,not available,,GBP,CANCELLED,FJR,,,,,,,,,,,,
C49357,A/41767,2021-01-22,26623.24,(26623.24),OMR,Closed,UAQ,needs review,needs review,,1,42,needs review,,,,,,
C96333,A-1708541,2021-01-09 00:00:00,,-7243.47,AED,Pending,RAK,ok,ok,,,,ok,,,,,,
C51079,A-7542286,2021-01-25,"27,549.00",27549.0,USD,Closed,AUH,ok,ok,,Y21,,ok,,,,,,
C14562,A/90530,,,17496.30336900122,EUR,In Review,SHJ,ok,ok,,,m1,ok,x,,,x,,
,A-9249220,2021-01-02,(27206.89),27206.89,EUR,,SHJ,,,,,m1,,,,,,,
C20778,A-5187652,32/13/2023,21169.08,21169.08,OMR,,DXB,,,,,50,,,x,,,,
C92133,A-2492779,Jan-20-21,18647.92,,USD,Open,SHJ,ملاحظة,ملاحظة,,Y21,m1,ملاحظة,x,,,,,
C47089,A-4176986,2021-01-07 00:00:00,22113.61,22161.049917693304,AED,Pending,AAN,ok,ok,,,57,ok,,,,,,
,A-1763562,Jan-12-21,15547.0,"15,547.00",EUR,CANCELLED,FJR,needs review,needs review,,0,m1,needs review,,,,,,
C90338,A-5425123,09/01/2021,25921.53,25921.53,EUR,,SHJ,,,,0,94,,x,,,,,
C29405,A/26704,Jan-04-21,-1135.11,,USD,,RAK,,,,0,10,,,,x,,,x
C72895,A-5518413,,(4518.22),"4,522.94",AED,,RAK,!!!,!!!,,,m1,!!!,,,,,,
C95729,A-6008781,21/01/2021,19963.79,19963.79,EUR,,RAK,ok,ok,,,m1,ok,,,,,,
,A-9846268,23/01/2021,-4809.14,-4809.14,SAR,CANCELLED,AUH,,,,Y21,26,,,,,x,,
C75987,A-8765820,25/01/2021,,24030.57,AED,Open,SHJ,,,,Y21,,,,,,,,
,A-9165848,2021-01-13,29009.03,29044.93120302648,EUR,,FJR,!!!,!!!,,,m1,!!!,,,,,,
C25264,A-3557220,01/01/2021,28626.94,28620.118795262788,SAR,Open,UAQ,needs review,needs review,,Y21,,needs review,,,,,,
C73950,A-2018455,32/13/2023,13903.33,13903.33,GBP,Open,AAN,,,,,24,,,,,x,,
,A-7044085,2021-01-10,(24092.19),24091.56250785802,GBP,Closed,AAN,,,,0,m1,,,,,x,,x
C66442,A-4803231,Jan-11-21,10481.88,,EUR,,AAN,,,,,,,x,,,,,
C57400,A-5901010,2021-01-07,11250.99192999201,11221.43633326212,OMR,,AUH,ok,ok,,Y21,m1,ok,,,,,,
C66206,A/60130,2021-01-05,,(11613.90),OMR,Pending,AUH,needs review,needs review,,0,,needs review,,,,,,
C99243,A-6105693,0000-00-00,26550.77,not available,AED,,AAN,,,,0,67,,,,,x,,
C22166,A-6238726,32/13/2023,16156.05,16156.05,aed ,Open,UAQ,needs review,needs review,,Y21,,needs review,,,,,x,
C92279,A-4923148,Jan-19-21,(17343.05),17343.05,OMR,In Review,FJR,ok,ok,,1,m1,ok,,,,,,
C78019,A-5424046,Jan-18-21,,"8,090.04",SAR,,  SHJ,,,,,28,,,,,x,,
C15279,A-2975386,,,6229.47,EUR,CANCELLED,AUH,,,,,m1,,,,,,,
C28156,A-8733225,2021-01-25,9064.84,9064.84,OMR,Pending,  AUH,,,,Y21,m1,,,,,,,
C85609,A-9753576,2021-01-18,,11110.955482114876,aed ,Open,FJR,!!!,!!!,,,,!!!,,,x,,,
C81012,A-3416493,2021-01-04,,-4554.159849658484,EUR,CANCELLED,FJR,ok,ok,,Y21,m1,ok,,,,,,
C73461,A-4921514,03 January 2021,(28612.04),28612.04,OMR,Open,DXB,,,,Y21,m1,,,,,x,,
C31939,A-9089743,21/01/2021,23900.53,23900.53,SAR,Pending,UAQ,ملاحظة,ملاحظة,,Y21,78,ملاحظة,,,,,,
C45784,A-6396194,2021-01-15 00:00:00,not available,(28445.53),EUR,Open,  FJR,ok,ok,,0,,ok,x,,,,x,x
