 Customer Id  ,Account ID, posting_dt  ,Amt, TXN_VALUE  , CCY_CODE  ,Status,AREA,Commentary,ops_comment,,year_added_2022, new_col_202206 ,,mystery_2022_06_16,mystery_2022_06_65,Unnamed: 0
C54645,A-6957107,32/13/2023,(26666.49),26666.315121754153,EUR,Closed,FJR,,,,0,14,,,,
C32173,,32/13/2023,17074.16,17074.16,AED,In Review,FJR,!!!,!!!,,Y22,m6,,,,
C69272,A-5620485,12 June 2022,not available,-612.08,GBP,,FJR,ok,ok,,,97,,,,
C16226,A-7842897,2022-06-20,,3681.79,EUR,In Review,DXB,needs review,needs review,,,,,x,,
C94498,A-6636288,Jun-21-22,"-3,677.94",-3648.56,EUR,Pending,AUH,ملاحظة,ملاحظة,,0,m6,junk,,,
,A-9456366,11/06/2022,not available,-7834.974102316562,SAR,Pending,AUH,ملاحظة,ملاحظة,,,,,,x,
C27655,A-5225447,2022-06-15,24884.61,24898.856310537332,USD,Pending,DXB,,,,1,m6,,,,
C39564,A-5962712,2022-06-17,,-1745.3194612971054,sar ,Pending,DXB,ملاحظة,ملاحظة,junk,Y22,,,,,
C42803,A/92048,2022-06-08,"8,210.43",8151.870323247634,OMR,Pending,  AUH,needs review,needs review,,1,28,,,,
,A-1748900,2022-06-04,(2027.23),1977.96,GBP,Pending,UAQ,,,,Y22,m6,,,x,
C53305,A-4336209,19 June 2022,28260.3,,AED,,  SHJ,,,,Y22,m6,,,,
,A-4828814,Jun-14-22,-198.87,-198.87,usd ,,UAQ,ملاحظة,ملاحظة,,Y22,,junk,,,
C83172,A-5809021,0000-00-00,,11862.22,eur ,CANCELLED,FJR,ok,ok,,Y22,m6,,,,
C35652,,16/06/2022,,-4067.04,SAR,,AAN,!!!,!!!,,0,,,,,
,A-2933349,2022-06-24,-486.80,,GBP,,UAQ,needs review,needs review,,1,,,,x,
