C75902,A-7157997,2022-03-14,7223.292706947464,"7,252.17",USD,CANCELLED,AUH,needs review,needs review,,,62,A-7157997,,
C35084,A-1531430,2022-03-11,(29261.98),29257.41,USD,,AAN,ok,ok,junk,Y22,m3,A-1531430,,
C12899,A-8573399,2022-03-03,(15610.37),15610.37,OMR,In Review,DXB,,,,1,m3,A-8573399,,
C40817,A-1998385,26/03/2022,3438.74,3438.74,AED,,RAK,needs review,needs review,,Y22,m3,A-1998385,x,
C87879,A-8971500,20 March 2022,(19969.87),19922.2,SAR,CANCELLED,FJR,needs review,needs review,junk,Y22,56,A-8971500,x,
C63631,A-5058516,2022-03-06,"23,707.59",,GBP,Closed,  SHJ,ok,ok,,Y22,60,A-5058516,,
C37762,A-6256351,25 March 2022,15840.2,15860.624865277687,USD,Pending,  RAK,needs review,needs review,,,72,A-6256351,,
C10763,A-8290406,2022-03-26,,,AED,In Review,FJR,ok,ok,,1,m3,A-8290406,,
C75884,A-5780258,Mar-19-22,"24,318.29","24,357.46",OMR,Open,DXB,,,,0,m3,A-5780258,,
,A-7746545,2022-03-23,20748.89,20748.89,GBP,CANCELLED,AUH,ok,ok,,Y22,58,A-7746545,,
C65825,A-3635213,2022-03-05,,-2180.48,SAR,CANCELLED,AAN,ok,ok,junk,Y22,23,A-3635213,,
C60916,A-3565113,32/13/2023,7368.79,7332.045548998372,AED,Pending,FJR,ملاحظة,ملاحظة,,Y22,m3,A-3565113,,
C56956,A/32071,23/03/2022,-7562.4,"-7,562.40",GBP,,UAQ,ملاحظة,ملاحظة,,Y22,,A/32071,,
C91770,A-4680002,32/13/2023,,5411.495217178208,usd ,In Review,  SHJ,ملاحظة,ملاحظة,,Y22,,A-4680002,x,
C70631,A-9525439,2022-03-09,25577.06,"25,577.06",SAR,,FJR,ملاحظة,ملاحظة,,Y22,,A-9525439,,
C51653,A-5066276,14/03/2022,21412.09,21412.09,USD,,AAN,needs review,needs review,,Y22,,A-5066276,x,
C38968,A-3286779,Mar-25-22,11533.99,11533.99,GBP,CANCELLED,FJR,,,,,m3,A-3286779,,
C72250,A-4192421,08/03/2022,24257.14,24257.14,EUR,,  AAN,ok,ok,,Y22,m3,A-4192421,,
C29733,A-6774535,28/03/2022,4775.35,,SAR,,DXB,,,,Y22,m3,A-6774535,,
C35395,A-1818052,2022-03-09,-66.03525023015203,-6.28,USD,Open,SHJ,,,junk,Y22,m3,A-1818052,x,
C79913,A-6390021,2022-03-22,10043.48,"10,043.48",AED,,DXB,ok,ok,,,74,A-6390021,,
C83927,A-6319053,19/03/2022,"28,001.91","28,001.91",AED,Closed,DXB,ok,ok,,Y22,m3,A-6319053,,
C96294,A-4033047,,16686.17809171704,16676.13,EUR,,RAK,,,,Y22,m3,A-4033047,,
C14015,A-7957121,06/03/2022,28429.81910378007,28385.02,AED,,UAQ,,,,Y22,40,A-7957121,,
C40839,A-8452893,02 March 2022,19215.63,19215.63,EUR,,AAN,ملاحظة,ملاحظة,,,,A-8452893,,
C17445,A-1979413,2022-03-24,18589.44,18589.44,OMR,CANCELLED,AAN,ملاحظة,ملاحظة,,Y22,41,A-1979413,,
C75148,A-7853927,25 March 2022,(6442.04),6514.620396378985,GBP,Open,AUH,ok,ok,,1,47,A-7853927,,
C68392,A-3334367,2022-03-26,,10317.98,USD,,FJR,ok,ok,,1,,A-3334367,,
