 cust#  ,Account ID#,POSTING DATE,Amount,Gross Amount#,CCY,APPRV_STATE, BR_CODE  ,Memo#,REASON_TEXT,,year_added_2022, new_col_202209 ,Notes,mystery_2022_09_66,mystery_2022_09_72,mystery_2022_09_18
C46781,A-3118357,18/09/2022,"16,968.17","16,947.77",OMR,CANCELLED,DXB,ok,ok,,Y22,,ok,,,
C56207,A-5091747,32/13/2023,-7455.73,-7455.73,USD,,RAK,ملاحظة,ملاحظة,,0,64,ملاحظة,,,
C69089,A-1900348,2022-09-23 00:00:00,14236.00328645289,,OMR,Pending,UAQ,,,,,72,,,,
,A-1111607,2022-09-03 00:00:00,(17180.37),17180.37,GBP,Closed,FJR,,,,,m9,,,,
C96686,A-1873010,22/09/2022,,,OMR,Closed,AUH,ok,ok,junk,Y22,m9,ok,,,
C48573,A-4441919,2022-09-28,20494.66,20494.66,SAR,Closed,AAN,needs review,needs review,,0,,needs review,,,
C26054,A-5688907,Sep-06-22,753.82,728.0376949392407,eur ,,RAK,ok,ok,,Y22,82,ok,,,
C37090,A-7068655,2022-09-05 00:00:00,,-4244.97,aed ,CANCELLED,SHJ,needs review,needs review,,,25,needs review,,,
C19950,A-6615710,2022-09-01,(13142.94),13142.94,USD,,  DXB,ok,ok,,Y22,,ok,x,,
C67683,A-9424764,Sep-28-22,"-5,524.19",not available,SAR,Open,SHJ,ok,ok,junk,Y22,,ok,,x,
,A-4299209,12/09/2022,20202.16694613473,20198.81,OMR,Closed,  RAK,ok,ok,,0,m9,ok,,,
,A-2915606,Sep-18-22,,23566.523908887575,eur ,CANCELLED,AAN,,,,,,,,,x
C82596,A-6301527,07 September 2022,6780.716311430785,"6,794.95",SAR,Open,  DXB,ok,ok,,Y22,,ok,,,
C44462,A-6271588,12 September 2022,-3070.01,,gbp ,Closed,FJR,ok,ok,junk,0,34,ok,,,
C48348,A-1836179,27 September 2022,,"18,960.13",OMR,,FJR,ok,ok,,,,ok,,,
C25627,A/55036,17 September 2022,(2725.36),"2,725.36",AED,,UAQ,,,,Y22,m9,,,,
,A-2203621,06 September 2022,"-1,631.27",-1631.27,USD,,DXB,,,,0,13,,,x,x
C21798,A/1551,25 September 2022,(9526.61),9526.61,SAR,Pending,FJR,needs review,needs review,junk,Y22,,needs review,,,
C76374,A-5465695,Sep-12-22,13201.26009016527,13120.3789454014,SAR,Open,SHJ,ok,ok,,Y22,,ok,x,,
C31948,A-2357609,2022-09-22,15921.98,,USD,Open,RAK,,,,,m9,,,,
,A-3374091,2022-09-06,,,EUR,Open,RAK,ok,ok,,Y22,m9,ok,,,
C18562,A-6027150,2022-09-01,(3697.12),"3,714.12",usd ,Closed,  UAQ,needs review,needs review,,Y22,m9,needs review,,,
C66356,A-4332330,2022-09-03 00:00:00,11413.69455878395,11435.093103307301,SAR,,SHJ,ok,ok,junk,0,,ok,,,
C31085,A-1535255,14 September 2022,,,OMR,In Review,SHJ,ok,ok,,Y22,m9,ok,,,
C50111,A-2358578,2022-09-07,17540.17770885077,17529.91,EUR,In Review,DXB,,,,Y22,,,,x,
