C71360,A/46015,2022-12-27,"4,968.61",4960.09,GBP,Pending,RAK,,,,,32,27/12/2022,x,,,x
C26659,A-5717859,Dec-28-22,19883.76,19883.76,omr ,Pending,RAK,ملاحظة,ملاحظة,,Y22,54,2022-12-28,,,,
C18533,A-9978856,2022-12-11,not available,not available,OMR,CANCELLED,RAK,,,,Y22,,32/13/2023,,,,
C22865,A-7590462,25/12/2022,,-1360.28,USD,In Review,DXB,ok,ok,,,m12,25/12/2022,,x,,
C22375,A-2720724,2022-12-17,27545.1,27582.21269574891,GBP,CANCELLED,AAN,ok,ok,,Y22,,17 December 2022,,,,
C42744,A-8671624,Dec-02-22,14528.53,14528.53,SAR,Pending,FJR,ملاحظة,ملاحظة,,Y22,63,2022-12-02,,x,,
,A-6812639,09/12/2022,(3045.31),-3045.31,AED,Open,AUH,ملاحظة,ملاحظة,,0,m12,09/12/2022,,x,x,
C44059,A/12892,Dec-07-22,3693.75,3674.328490083412,USD,Pending,UAQ,ملاحظة,ملاحظة,junk,,m12,2022-12-07,,,,
C96552,A/99783,Dec-01-22,17723.26,,USD,Pending,AUH,ok,ok,,Y22,,01/12/2022,x,,,
C81941,A/85397,2022-12-17,4397.580290367221,4393.384147150253,EUR,CANCELLED,DXB,ملاحظة,ملاحظة,,Y22,m12,2022-12-17,,,,
C85315,A-7039169,Dec-14-22,,19553.64,SAR,Closed,SHJ,,,,Y22,10,2022-12-14,,,,x
C69293,A-1712058,07 December 2022,6878.44,6878.44,AED,,AAN,,,,Y22,16,Dec-07-22,x,,,
C14607,A-9867232,16 December 2022,,"1,824.77",AED,,AAN,needs review,needs review,,,m12,2022-12-16,x,,,
C66656,A-1442748,09 December 2022,16413.7,16413.7,AED,Closed,AAN,,,,,28,09/12/2022,,,x,x
C64131,A-1560445,Dec-02-22,(5792.04),-5792.04,GBP,In Review,FJR,needs review,needs review,,1,m12,Dec-02-22,,,,
C43543,A/97490,,,,EUR,,UAQ,needs review,needs review,,Y22,m12,18/12/2022,,x,,
C44871,,11/12/2022,22459.94,not available,USD,Pending,SHJ,,,,1,m12,Dec-11-22,,,,
C89077,A-3873185,2022-12-28 00:00:00,-6048.06,,SAR,,RAK,ok,ok,,Y22,62,Dec-28-22,,,,
C56493,A-2562489,Dec-28-22,"-4,366.12",(4366.12),USD,In Review,UAQ,ملاحظة,ملاحظة,,0,40,2022-12-28 00:00:00,x,,,
C68075,A/23327,,14074.4,14074.4,OMR,Closed,AAN,ok,ok,,1,,32/13/2023,,,,x
C19269,A-3840951,32/13/2023,"4,495.12",4506.49,AED,CANCELLED,AAN,,,,Y22,m12,Dec-24-22,,,,
C60457,A-6075233,Dec-11-22,"19,711.03",19716.42,GBP,,FJR,ملاحظة,ملاحظة,junk,1,m12,Dec-11-22,,,,
C96207,A/53989,21/12/2022,27718.08,"27,718.08",AED,Closed,RAK,,,junk,,96,32/13/2023,,,,
C37996,A-4090422,2022-12-03 00:00:00,not available,-7703.97,AED,CANCELLED,FJR,needs review,needs review,,,m12,2022-12-03 00:00:00,,,,
C71583,A-4883630,22/12/2022,"9,444.26",9398.747425790943,SAR,,DXB,needs review,needs review,,Y22,m12,Dec-22-22,,,x,
C96697,A-6777715,,22499.27,"22,477.18",OMR,,AAN,ملاحظة,ملاحظة,,,,24/12/2022,,,,
C70052,A-4994858,0000-00-00,,,AED,CANCELLED,AUH,ok,ok,,Y22,,,x,,,
C87679,A-5044927,,,29194.87,gbp ,Pending,  DXB,!!!,!!!,,,,11/12/2022,,,,
,A-6107015,12/12/2022,(28936.36),(28968.60),OMR,Open,DXB,ملاحظة,ملاحظة,,Y22,34,2022-12-12,,,,
C42880,A-7006759,2022-12-27,22905.23,22905.23,OMR,Open,FJR,ok,ok,junk,Y22,,2022-12-27,,,x,
C71055,A-6609857,32/13/2023,28446.16,28438.522803717064,OMR,,UAQ,ملاحظة,ملاحظة,,Y22,12,18/12/2022,,x,,
C37341,A-7446335,,-1193.96,-1193.96,GBP,Pending,FJR,,,,,43,Dec-21-22,,,,
C23965,A/92471,06/12/2022,-6946.26,-6946.26,GBP,,  DXB,ok,ok,,,m12,06/12/2022,,x,,
C11880,A-6943775,2022-12-08 00:00:00,(1531.03),"1,531.03",EUR,Pending,  RAK,ok,ok,junk,1,m12,2022-12-08,,,,
C14621,A-7595507,02/12/2022,"-6,760.05",-6797.045342463221,AED,Pending,DXB,ملاحظة,ملاحظة,,,m12,02 December 2022,,,,
,A-3297403,07/12/2022,not available,not available,GBP,Open,UAQ,needs review,needs review,,1,m12,07/12/2022,,,,
C27162,A-8760530,02/12/2022,10533.14,10533.14,USD,CANCELLED,  SHJ,ok,ok,,,m12,02/12/2022,,,,
C29212,A-2662641,Dec-13-22,27271.75910102139,27286.73,USD,,RAK,ok,ok,,Y22,,2022-12-13,,,x,
C64077,A-5412331,06/12/2022,27307.77,,EUR,CANCELLED,UAQ,ok,ok,junk,1,m12,2022-12-06,,,x,
C57897,A-8760607,0000-00-00,"14,786.56",14786.56,OMR,Closed,RAK,needs review,needs review,,,82,Dec-03-22,,,x,
C41489,A-1046312,2022-12-12 00:00:00,23636.0982594858,23616.57,AED,,UAQ,needs review,needs review,,1,,,,,x,
C15513,A-2126957,2022-12-27 00:00:00,16122.69,"16,122.69",USD,Pending,AAN,ok,ok,,Y22,m12,27/12/2022,,,,
,A-1666274,26/12/2022,11001.182691116544,"11,047.73",OMR,In Review,AAN,,,,1,m12,Dec-26-22,,,,
